,id,timestamp,ip,zipcode,likert,parkspot,parktime,walktime,timeofday
0,1,07-05-2019 03:33:12,fyz1dx4q5g,00560,5,5,99,99,4
1,2,07-05-2019 10:55:50,g4lal9fyf8,00100,1,1,5,5,4
2,3,07-05-2019 10:55:50,g4lal9fyf8,00380,4,4,0,1,1
3,4,07-05-2019 11:12:35,vixcgltrjb,00340,2,4,1,0,4
4,5,07-05-2019 11:12:35,vixcgltrjb,00100,1,1,10,5,3
5,6,08-05-2019 00:40:19,fyz1dx4q5g,00100,5,4,99,99,4
6,7,08-05-2019 00:40:19,fyz1dx4q5g,00530,5,2,99,99,1
7,8,08-05-2019 08:20:20,hyv7uw4oy8,02180,1,2,1,1,4
8,9,08-05-2019 08:24:20,hyv7uw4oy8,02630,1,2,1,1,4
9,10,08-05-2019 08:38:57,hyv7uw4oy8,00350,1,1,3,3,2
10,11,08-05-2019 08:38:57,hyv7uw4oy8,00320,1,1,1,2,2
11,12,08-05-2019 08:38:57,hyv7uw4oy8,00330,1,1,1,3,2
12,13,08-05-2019 08:38:57,hyv7uw4oy8,00440,1,1,2,4,2
13,14,08-05-2019 08:41:44,hyv7uw4oy8,00270,1,1,5,5,2
14,15,08-05-2019 08:53:06,hyv7uw4oy8,00510,1,1,2,2,2
15,16,08-05-2019 08:53:06,hyv7uw4oy8,00280,1,1,2,2,2
16,17,08-05-2019 08:53:06,hyv7uw4oy8,00150,1,1,2,2,2
17,18,08-05-2019 08:55:17,98v1z1qrho,00900,1,3,5,2,2
18,19,08-05-2019 08:55:17,98v1z1qrho,00930,1,3,10,5,4
19,20,08-05-2019 08:55:17,98v1z1qrho,00910,1,2,5,2,1
20,21,08-05-2019 08:55:17,98v1z1qrho,00540,3,3,2,5,3
21,22,08-05-2019 08:55:17,98v1z1qrho,00510,2,4,2,10,1
22,23,08-05-2019 08:55:17,98v1z1qrho,02200,3,2,0,1,4
23,24,08-05-2019 08:56:06,hyv7uw4oy8,00180,2,3,1,5,2
24,25,08-05-2019 09:04:52,hyv7uw4oy8,00390,4,2,1,1,2
25,26,08-05-2019 09:11:52,hyv7uw4oy8,02700,1,1,1,1,1
26,27,08-05-2019 09:48:57,34n2luk3uu,00820,1,1,5,5,4
27,28,09-05-2019 13:25:49,dfmmrxhebm,00610,1,1,3,1,4
28,29,09-05-2019 13:48:38,paclvdw7cd,00500,1,2,5,4,4
29,30,09-05-2019 13:48:38,paclvdw7cd,00560,1,1,5,2,1
30,31,09-05-2019 13:48:38,paclvdw7cd,00220,2,3,1,0,2
31,32,09-05-2019 13:48:38,paclvdw7cd,00730,2,4,0,0,4
32,33,09-05-2019 13:59:46,lr02q1ypp6,00210,2,1,0,4,2
33,34,09-05-2019 13:59:46,lr02q1ypp6,00250,1,1,5,15,2
34,35,09-05-2019 13:59:46,lr02q1ypp6,02150,2,2,1,15,1
35,36,09-05-2019 13:59:46,lr02q1ypp6,02100,2,2,0,15,3
36,37,09-05-2019 13:59:46,lr02q1ypp6,00380,2,1,0,3,3
37,38,09-05-2019 13:59:46,lr02q1ypp6,02610,2,2,2,2,1
38,39,09-05-2019 13:59:46,lr02q1ypp6,02600,1,3,2,2,2
39,40,09-05-2019 13:59:46,lr02q1ypp6,00560,2,1,0,5,1
40,41,09-05-2019 13:59:46,lr02q1ypp6,00100,1,1,5,30,1
41,42,09-05-2019 13:59:46,lr02q1ypp6,00790,3,1,10,15,1
42,43,09-05-2019 14:21:30,uiacst884h,00860,1,2,1,2,2
43,44,09-05-2019 14:21:30,uiacst884h,00700,2,2,1,1,3
44,45,09-05-2019 14:21:30,uiacst884h,02150,2,2,1,1,2
45,46,09-05-2019 14:21:30,uiacst884h,00560,2,1,5,2,1
46,47,09-05-2019 14:21:30,uiacst884h,02230,3,2,5,5,4
47,48,09-05-2019 15:23:06,1jg1z5jhcw,00530,1,1,3,3,4
48,49,09-05-2019 15:23:06,1jg1z5jhcw,00170,2,1,10,5,4
49,50,09-05-2019 17:54:46,6x84u56ios,01650,3,4,1,1,1
50,51,09-05-2019 17:54:46,6x84u56ios,00330,1,1,1,2,4
51,52,09-05-2019 17:54:46,6x84u56ios,00300,1,4,1,1,1
52,53,09-05-2019 17:54:46,6x84u56ios,00810,4,1,1,1,1
53,54,09-05-2019 19:34:03,gofnj9u2ks,00180,1,2,0,3,2
54,55,10-05-2019 18:51:30,ox9jabzryt,00570,4,2,10,10,3
55,56,10-05-2019 18:51:30,ox9jabzryt,00790,1,1,2,4,2
56,57,10-05-2019 18:51:30,ox9jabzryt,00580,4,1,10,3,3
57,58,10-05-2019 18:51:30,ox9jabzryt,02650,3,1,7,5,3
58,59,10-05-2019 18:51:30,ox9jabzryt,01700,1,1,10,5,2
59,60,10-05-2019 18:51:30,ox9jabzryt,00560,1,2,7,5,1
60,61,10-05-2019 18:51:30,ox9jabzryt,00650,2,1,3,7,3
61,62,10-05-2019 18:51:30,ox9jabzryt,00290,3,3,3,3,2
62,63,10-05-2019 18:51:30,ox9jabzryt,00100,3,1,13,5,2
63,64,11-05-2019 15:35:33,hyv7uw4oy8,02360,3,1,1,2,2
64,65,11-05-2019 15:35:33,hyv7uw4oy8,02230,2,3,3,3,2
65,66,11-05-2019 15:35:33,hyv7uw4oy8,02180,1,2,1,2,2
66,67,11-05-2019 15:35:33,hyv7uw4oy8,02250,3,2,1,1,2
67,68,11-05-2019 15:35:33,hyv7uw4oy8,02160,2,2,1,1,3
68,69,11-05-2019 15:35:33,hyv7uw4oy8,00270,1,1,4,5,2
69,70,11-05-2019 15:35:33,hyv7uw4oy8,00160,2,1,4,5,2
70,71,11-05-2019 15:45:01,hyv7uw4oy8,00620,1,1,1,1,2
71,72,11-05-2019 15:45:01,hyv7uw4oy8,02940,2,2,2,3,3
72,73,11-05-2019 15:45:01,hyv7uw4oy8,00530,2,1,3,5,2
73,74,11-05-2019 15:45:01,hyv7uw4oy8,00640,1,1,1,1,2
74,75,11-05-2019 15:58:07,hyv7uw4oy8,02150,3,1,1,1,2
75,76,11-05-2019 15:58:07,hyv7uw4oy8,01620,1,2,1,2,2
76,77,11-05-2019 15:58:07,hyv7uw4oy8,02630,2,2,1,1,2
77,78,11-05-2019 15:58:07,hyv7uw4oy8,02610,3,2,1,2,2
78,79,11-05-2019 15:58:07,hyv7uw4oy8,01720,2,2,1,2,2
79,80,11-05-2019 15:58:07,hyv7uw4oy8,01370,4,1,2,3,2
80,81,11-05-2019 15:58:07,hyv7uw4oy8,02200,1,2,1,1,2
81,82,11-05-2019 15:58:07,hyv7uw4oy8,02100,1,3,1,5,2
82,83,11-05-2019 19:00:02,0thv092yys,00610,1,1,2,1,4
83,84,14-05-2019 15:38:38,mo6rkpxy3c,01620,2,4,3,6,2
